Time (ms),Angle 1
0,84.281867980957
33,84.2943496704102
67,84.2948913574219
100,84.2882766723633
133,84.2911758422852
167,84.3203887939453
200,84.3923034667969
233,84.5129699707031
267,84.6489486694336
300,84.7400283813477
333,84.7585067749023
367,84.7177658081055
400,84.6271667480469
433,84.4887313842773
467,84.3452453613281
500,84.2772521972656
533,84.3103713989258
567,84.3770523071289
600,84.4007186889648
633,84.3669738769531
667,84.3144607543945
700,84.2969360351563
733,84.3516616821289
767,84.4642944335938
800,84.5556030273438
833,84.5632247924805
867,84.5195236206055
900,84.4889755249023
933,84.4900970458984
1000,84.4978790283203
1033,84.4688491821289
1067,84.4007568359375
1100,84.3681030273438
1133,84.4268035888672
1167,84.5278091430664
1200,84.5832138061523
1233,84.5526351928711
1267,84.4470901489258
1300,84.3098907470703
1333,84.1915512084961
1367,84.11767578125
1400,84.0841827392578
1433,84.0753402709961
1467,84.0766220092773
1500,84.0846939086914
1533,84.115119934082
1567,84.1898880004883
1600,84.3007431030273
1633,84.397834777832
1667,84.4473419189453
1700,84.4646072387695
1733,84.4690551757813
1767,84.4662857055664
1800,84.4627990722656
1833,84.4540328979492
1867,84.4239273071289
1900,84.376106262207
1933,84.349006652832
1967,84.3706741333008
2000,84.4156341552734
2033,84.4412155151367
2067,84.4322509765625
2100,84.3953170776367
2133,84.3505935668945
2167,84.330436706543
2200,84.3522796630859
2233,84.3928833007813
2267,84.4122772216797
2300,84.3936462402344
2333,84.3496551513672
2367,84.3068542480469
2400,84.2833938598633
2433,84.2839813232422
2467,84.3126907348633
2500,84.3500213623047
2533,84.3511505126953
2567,84.3213577270508
2600,84.3240661621094
2633,84.3830184936523
2667,84.4301300048828
2700,84.37548828125
2733,84.2360153198242
2767,84.1388549804688
2800,84.1665420532227
2833,84.266975402832
2867,84.3429794311523
2900,84.380744934082
2933,84.4238662719727
2967,84.4730682373047
3000,84.5058212280273
3033,84.5084075927734
3067,84.4641189575195
3100,84.4037551879883
3133,84.3933639526367
3167,84.4265213012695
3200,84.4254760742188
3233,84.3564682006836
3267,84.2808609008789
3300,84.2625579833984
3333,84.2777252197266
3367,84.2698669433594
3400,84.236083984375
3433,84.217399597168
3467,84.2375259399414
3500,84.2795791625977
3533,84.3156051635742
3567,84.3285827636719
3600,84.3115921020508
3633,84.2692184448242
3667,84.2218704223633
3700,84.2019500732422
3733,84.2232437133789
3767,84.2571105957031
3800,84.2651596069336
3833,84.2477416992188
3867,84.2439956665039
3900,84.2699279785156
3933,84.2806701660156
3967,84.2411270141602
4000,84.1909713745117
4033,84.181022644043
4067,84.1993255615234
4100,84.2136535644531
4133,84.2284317016602
4167,84.2528228759766
4200,84.2564392089844
4233,84.1929321289063
4267,84.0667190551758
4300,83.9614334106445
4333,83.9545974731445
4367,84.0161361694336
4400,84.0605392456055
4433,84.0574722290039
4467,84.0404815673828
4500,84.0592346191406
4533,84.1192092895508
4567,84.154670715332
4600,84.1093597412109
4633,84.0136337280273
4667,83.9394302368164
4700,83.9188003540039
4733,83.9312896728516
4767,83.9541549682617
4800,83.9988632202148
4833,84.0809555053711
4867,84.1780776977539
4900,84.2459945678711
4933,84.25927734375
4967,84.2265777587891
5000,84.1797561645508
5033,84.1360168457031
5067,84.0799560546875
5100,84.013427734375
5133,83.9746322631836
5167,83.9751815795898
5200,83.9783782958984
5233,83.9551086425781
5267,83.9138946533203
5300,83.8768310546875
5333,83.8590621948242
