ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3808,len:0x44c
load:0x403c9700,len:0xbe4
load:0x403cc700,len:0x2a68
entry 0x403c98d4
Time,Knee Angle,Thigh Roll,Thigh Pitch,Calf Roll,Calf Pitch
0.05,4.64,0.19,4.64,0.00,0.00
1.07,4.69,0.17,4.69,0.00,0.00
2.08,4.75,0.17,4.75,0.00,0.00
3.10,4.89,-0.02,4.89,0.00,0.00
3.10,15.56,-0.02,4.89,13.63,-10.67
5.10,14.89,-2.21,4.22,13.63,-10.67
5.10,15.41,-2.21,4.22,11.02,-11.19
7.11,14.72,-3.55,3.53,11.02,-11.19
7.11,15.27,-3.55,3.53,9.33,-11.74
9.11,13.54,-4.87,1.80,9.33,-11.74
10.11,12.70,-6.67,0.95,9.33,-11.74
10.11,14.39,-6.67,0.95,5.17,-13.44
12.12,14.54,-6.82,1.10,5.17,-13.44
12.12,13.89,-6.82,1.10,4.23,-12.80
12.12,14.16,-6.82,1.10,4.30,-13.07
12.12,14.52,-6.82,1.10,4.62,-13.42
12.12,14.75,-6.82,1.10,4.76,-13.66
12.12,14.93,-6.82,1.10,4.87,-13.84
12.12,15.09,-6.82,1.10,4.94,-13.99
12.12,15.22,-6.82,1.10,4.98,-14.13
12.12,15.36,-6.82,1.10,5.00,-14.26
21.15,13.74,-6.21,-0.52,5.00,-14.26
22.16,13.63,-6.19,-0.63,5.00,-14.26
23.16,13.40,-6.22,-0.86,5.00,-14.26
23.16,13.77,-6.22,-0.86,4.98,-14.64
25.16,13.69,-6.23,-0.95,4.98,-14.64
26.17,13.54,-6.30,-1.10,4.98,-14.64
27.17,13.51,-6.33,-1.13,4.98,-14.64
28.17,13.45,-6.36,-1.18,4.98,-14.64
28.17,13.93,-6.36,-1.18,4.79,-15.12
30.17,13.96,-6.36,-1.16,4.79,-15.12
30.17,14.14,-6.36,-1.16,4.79,-15.30
30.17,14.16,-6.36,-1.16,4.81,-15.32
