ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3808,len:0x44c
load:0x403c9700,len:0xbe4
load:0x403cc700,len:0x2a68
entry 0x403c98d4
Time,Knee Angle,Thigh Roll,Thigh Pitch,Calf Roll,Calf Pitch
109.51,68.09,19.09,67.27,6.21,-0.82
109.51,68.37,19.09,67.27,6.90,-1.10
111.52,68.65,18.60,67.55,6.90,-1.10
111.52,68.64,18.60,67.55,9.13,-1.09
111.52,68.55,18.60,67.55,9.66,-1.01
111.52,68.46,18.60,67.55,9.96,-0.92
111.52,68.44,18.60,67.55,10.00,-0.89
111.52,68.41,18.60,67.55,10.05,-0.87
117.54,58.22,8.06,57.36,10.05,-0.87
117.54,58.18,8.06,57.36,10.17,-0.82
117.54,58.18,8.06,57.36,10.19,-0.82
117.54,58.12,8.06,57.36,10.28,-0.76
117.54,58.10,8.06,57.36,10.42,-0.74
117.54,58.07,8.06,57.36,10.36,-0.72
117.54,58.08,8.06,57.36,10.42,-0.73
117.54,58.09,8.06,57.36,10.48,-0.73
117.54,58.06,8.06,57.36,10.38,-0.70
117.54,58.02,8.06,57.36,10.31,-0.67
127.58,-66.84,-15.34,-67.51,10.31,-0.67
128.58,-43.04,-11.98,-43.71,10.31,-0.67
129.58,-23.63,-9.25,-24.30,10.31,-0.67
129.58,-23.59,-9.25,-24.30,10.15,-0.70
131.58,-7.77,-7.02,-8.47,10.15,-0.70
131.58,-7.76,-7.02,-8.47,10.12,-0.71
131.58,-7.75,-7.02,-8.47,10.12,-0.72
131.58,-7.74,-7.02,-8.47,10.11,-0.73
131.58,-7.71,-7.02,-8.47,10.13,-0.76
131.58,-7.71,-7.02,-8.47,10.04,-0.76
131.58,-7.70,-7.02,-8.47,9.97,-0.77
131.58,-7.66,-7.02,-8.47,9.96,-0.81
131.58,-7.66,-7.02,-8.47,9.87,-0.81
131.58,-7.65,-7.02,-8.47,9.90,-0.82
131.58,-7.66,-7.02,-8.47,10.00,-0.81
131.58,-7.67,-7.02,-8.47,10.01,-0.80
131.58,-7.66,-7.02,-8.47,10.03,-0.81
131.58,-7.66,-7.02,-8.47,10.03,-0.81
131.58,-7.65,-7.02,-8.47,10.05,-0.82
131.58,-7.67,-7.02,-8.47,10.05,-0.80
131.58,-7.67,-7.02,-8.47,10.02,-0.80
131.58,-7.67,-7.02,-8.47,10.03,-0.80
131.58,-7.63,-7.02,-8.47,10.09,-0.84
150.60,-45.02,-14.03,-45.87,10.09,-0.84
150.60,-45.00,-14.03,-45.87,10.06,-0.87
152.61,-25.19,-10.92,-26.06,10.06,-0.87
153.61,4.13,-6.32,3.26,10.06,-0.87
153.61,4.07,-6.32,3.26,10.09,-0.81
155.61,14.81,-4.63,14.00,10.09,-0.81
156.62,30.71,-2.13,29.89,10.09,-0.81
157.62,36.53,-1.22,35.71,10.09,-0.81
157.62,36.50,-1.22,35.71,10.23,-0.78
159.62,41.25,-0.47,40.46,10.23,-0.78
159.62,41.27,-0.47,40.46,10.14,-0.81
161.63,42.11,-0.34,41.30,10.14,-0.81
162.63,48.29,0.63,47.49,10.14,-0.81
162.63,48.36,0.63,47.49,9.76,-0.87
162.63,48.37,0.63,47.49,9.73,-0.88
165.64,56.15,1.85,55.26,9.73,-0.88
165.64,56.16,1.85,55.26,9.62,-0.90
167.65,58.84,2.27,57.94,9.62,-0.90
168.65,59.48,2.38,58.59,9.62,-0.90
169.66,60.01,2.46,59.11,9.62,-0.90
169.66,59.99,2.46,59.11,9.55,-0.88
171.66,60.42,2.53,59.54,9.55,-0.88
171.66,60.42,2.53,59.54,9.51,-0.88
173.67,61.05,2.62,60.17,9.51,-0.88
173.67,61.04,2.62,60.17,9.42,-0.88
175.68,61.47,2.69,60.59,9.42,-0.88
176.69,61.74,2.73,60.87,9.42,-0.88
177.69,61.85,2.75,60.97,9.42,-0.88
178.69,61.93,2.76,61.05,9.42,-0.88
178.69,61.95,2.76,61.05,9.36,-0.90
180.70,62.02,2.77,61.12,9.36,-0.90
180.70,62.02,2.77,61.12,9.34,-0.90
182.71,62.08,2.78,61.18,9.34,-0.90
182.71,62.08,2.78,61.18,9.33,-0.90
184.72,62.16,2.80,61.26,9.33,-0.90
184.72,62.18,2.80,61.26,9.35,-0.92
186.72,62.24,2.80,61.31,9.35,-0.92
187.73,62.27,2.81,61.35,9.35,-0.92
188.73,62.29,2.81,61.37,9.35,-0.92
189.74,62.30,2.81,61.38,9.35,-0.92
189.74,62.32,2.81,61.38,9.31,-0.94
191.74,62.32,2.82,61.38,9.31,-0.94
192.75,62.32,2.82,61.39,9.31,-0.94
193.75,62.34,2.82,61.40,9.31,-0.94
194.86,62.34,2.82,61.41,9.31,-0.94
194.86,62.33,2.82,61.41,8.92,-0.92
196.86,62.33,2.82,61.41,8.92,-0.92
197.87,62.33,2.82,61.41,8.92,-0.92
197.87,62.32,2.82,61.41,8.87,-0.91
199.88,62.33,2.82,61.41,8.87,-0.91
200.88,62.33,2.82,61.42,8.87,-0.91
201.89,62.33,2.82,61.42,8.87,-0.91
202.89,62.33,2.82,61.42,8.87,-0.91
202.89,62.17,2.82,61.42,8.91,-0.75
204.90,62.17,2.82,61.42,8.91,-0.75
204.90,62.41,2.82,61.42,7.62,-0.99
206.91,62.41,2.82,61.42,7.62,-0.99
206.91,62.40,2.82,61.42,5.67,-0.98
206.91,61.66,2.82,61.42,5.99,-0.24
209.92,61.66,2.82,61.42,5.99,-0.24
209.92,61.06,2.82,61.42,6.32,0.36
209.92,60.75,2.82,61.42,6.63,0.67
209.92,60.65,2.82,61.42,6.73,0.77
213.94,60.65,2.82,61.42,6.73,0.77
214.94,60.65,2.82,61.42,6.73,0.77
214.94,60.56,2.82,61.42,6.76,0.86
216.95,60.56,2.82,61.42,6.76,0.86
216.95,60.45,2.82,61.42,6.83,0.97
218.96,60.45,2.82,61.42,6.83,0.97
