ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3808,len:0x44c
load:0x403c9700,len:0xbe4
load:0x403cc700,len:0x2a68
entry 0x403c98d4
Time,Knee Angle,Thigh Roll,Thigh Pitch,Calf Roll,Calf Pitch
0.00,-13.92,0.00,0.00,4.91,13.92
1.06,62.00,4.04,75.92,4.91,13.92
1.06,63.26,4.04,75.92,5.24,12.66
3.06,63.42,4.31,76.08,5.24,12.66
3.06,64.50,4.31,76.08,5.51,11.58
3.06,66.49,4.31,76.08,5.86,9.58
6.08,66.95,4.78,76.53,5.86,9.58
6.08,68.42,4.78,76.53,5.71,8.11
6.08,70.60,4.78,76.53,5.58,5.93
9.09,70.63,5.18,76.56,5.58,5.93
10.10,70.60,5.28,76.53,5.58,5.93
10.10,71.37,5.28,76.53,5.51,5.16
12.11,71.26,5.59,76.41,5.51,5.16
12.11,72.49,5.59,76.41,4.78,3.92
14.12,72.39,5.80,76.31,4.78,3.92
15.12,72.31,5.91,76.23,4.78,3.92
15.12,73.45,5.91,76.23,3.65,2.78
17.13,73.41,5.96,76.20,3.65,2.78
18.14,73.37,6.03,76.15,3.65,2.78
19.14,73.36,6.06,76.15,3.65,2.78
19.14,73.93,6.06,76.15,3.34,2.21
21.15,73.92,6.09,76.13,3.34,2.21
21.15,74.05,6.09,76.13,3.45,2.08
21.15,74.08,6.09,76.13,3.47,2.05
24.16,74.06,6.17,76.10,3.47,2.05
24.16,74.08,6.17,76.10,3.49,2.03
26.17,74.05,6.20,76.08,3.49,2.03
26.17,74.10,6.20,76.08,3.49,1.98
28.18,74.07,6.26,76.05,3.49,1.98
29.19,74.02,6.32,76.00,3.49,1.98
30.19,74.10,6.22,76.08,3.49,1.98
31.20,74.08,6.21,76.06,3.49,1.98
31.20,74.33,6.21,76.06,3.79,1.73
33.21,74.35,6.20,76.08,3.79,1.73
34.21,74.28,6.29,76.01,3.79,1.73
34.21,74.35,6.29,76.01,3.99,1.66
36.22,74.34,6.34,76.00,3.99,1.66
36.22,74.41,6.34,76.00,4.01,1.59
38.23,73.50,7.54,75.09,4.01,1.59
39.24,72.97,8.26,74.57,4.01,1.59
40.24,72.78,8.52,74.37,4.01,1.59
40.24,72.95,8.52,74.37,5.34,1.42
40.24,72.95,8.52,74.37,5.44,1.42
43.25,72.66,8.91,74.08,5.44,1.42
44.26,72.57,9.02,73.99,5.44,1.42
44.26,72.61,9.02,73.99,5.64,1.38
44.26,72.60,9.02,73.99,5.68,1.38
44.26,72.61,9.02,73.99,5.73,1.38
48.28,72.46,9.28,73.83,5.73,1.38
48.28,72.53,9.28,73.83,6.03,1.31
50.29,72.69,9.11,74.00,6.03,1.31
51.29,72.06,9.66,73.37,6.03,1.31
51.29,72.61,9.66,73.37,5.84,0.75
53.30,71.38,10.99,72.13,5.84,0.75
54.31,69.50,13.05,70.25,5.84,0.75
54.31,70.20,13.05,70.25,6.02,0.05
56.31,69.52,13.76,69.57,6.02,0.05
57.32,68.46,15.32,68.50,6.02,0.05
58.32,67.62,16.37,67.67,6.02,0.05
59.33,67.28,17.28,67.32,6.02,0.05
59.33,67.84,17.28,67.32,6.15,-0.52
59.33,67.90,17.28,67.32,6.13,-0.58
62.34,67.72,17.86,67.15,6.13,-0.58
62.34,67.74,17.86,67.15,6.14,-0.59
62.34,67.82,17.86,67.15,6.10,-0.67
65.35,68.52,17.63,67.85,6.10,-0.67
65.35,68.52,17.63,67.85,6.09,-0.67
65.35,68.59,17.63,67.85,6.00,-0.74
68.36,69.16,17.67,68.42,6.00,-0.74
68.36,69.25,17.67,68.42,5.95,-0.83
70.37,69.29,17.67,68.45,5.95,-0.83
70.37,69.29,17.67,68.45,5.93,-0.84
72.38,68.32,18.86,67.48,5.93,-0.84
73.38,68.00,19.03,67.16,5.93,-0.84
73.38,67.85,19.03,67.16,6.50,-0.69
75.39,68.11,18.61,67.43,6.50,-0.69
76.39,69.24,17.68,68.56,6.50,-0.69
76.39,69.17,17.68,68.56,6.60,-0.61
78.40,69.43,17.72,68.82,6.60,-0.61
78.40,69.41,17.72,68.82,6.51,-0.59
78.40,69.37,17.72,68.82,6.42,-0.55
78.40,69.39,17.72,68.82,6.23,-0.57
78.40,69.41,17.72,68.82,6.17,-0.59
83.42,69.87,17.55,69.28,6.17,-0.59
83.42,69.87,17.55,69.28,6.19,-0.59
85.42,69.41,17.24,68.82,6.19,-0.59
85.42,69.44,17.24,68.82,6.10,-0.63
87.43,69.40,17.08,68.77,6.10,-0.63
88.44,69.32,16.83,68.69,6.10,-0.63
88.44,69.37,16.83,68.69,5.95,-0.68
90.44,69.32,16.73,68.64,5.95,-0.68
91.45,69.21,16.62,68.54,5.95,-0.68
91.45,69.24,16.62,68.54,5.88,-0.70
93.46,69.21,16.55,68.50,5.88,-0.70
94.46,69.15,16.41,68.45,5.88,-0.70
95.46,69.10,16.45,68.39,5.88,-0.70
95.46,69.11,16.45,68.39,5.86,-0.72
97.47,69.02,16.61,68.31,5.86,-0.72
97.47,69.02,16.61,68.31,5.87,-0.72
99.48,68.91,16.90,68.19,5.87,-0.72
99.48,68.91,16.90,68.19,5.87,-0.72
99.48,68.93,16.90,68.19,5.86,-0.74
102.49,68.71,18.23,67.96,5.86,-0.74
102.49,68.72,18.23,67.96,5.88,-0.76
104.50,68.43,18.78,67.67,5.88,-0.76
105.50,68.11,19.13,67.35,5.88,-0.76
105.50,68.14,19.13,67.35,6.09,-0.78
107.51,67.96,19.52,67.18,6.09,-0.78
107.51,68.00,19.52,67.18,6.21,-0.82
