ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3808,len:0x44c
load:0x403c9700,len:0xbe4
load:0x403cc700,len:0x2a68
entry 0x403c98d4
Time,Knee Angle,Thigh Roll,Thigh Pitch,Calf Roll,Calf Pitch
111.42,87.58,-2.81,84.14,-8.74,-3.44
111.42,87.56,-2.81,84.14,-8.70,-3.42
113.58,87.78,-2.68,84.37,-8.70,-3.42
113.58,87.75,-2.68,84.37,-8.67,-3.38
115.59,87.77,-2.61,84.39,-8.67,-3.38
116.59,87.78,-2.57,84.40,-8.67,-3.38
116.59,87.76,-2.57,84.40,-8.61,-3.36
118.59,87.77,-2.53,84.41,-8.61,-3.36
118.59,87.78,-2.53,84.41,-8.59,-3.37
120.59,87.79,-2.47,84.42,-8.59,-3.37
120.59,87.80,-2.47,84.42,-8.55,-3.38
122.60,87.81,-2.41,84.44,-8.55,-3.38
