409.38,23.66,-21.86,11.68,-12.35,-11.99
409.38,28.39,-21.86,11.68,-12.85,-16.71
411.39,27.26,-23.67,10.55,-12.85,-16.71
412.39,31.95,-22.96,15.24,-12.85,-16.71
412.39,31.85,-22.96,15.24,-12.64,-16.61
414.39,34.15,-22.15,17.54,-12.64,-16.61
415.39,43.92,-19.06,27.31,-12.64,-16.61
415.39,42.62,-19.06,27.31,-12.39,-15.31
417.40,42.62,-19.06,27.31,-12.39,-15.31
418.40,66.94,-14.43,51.63,-12.39,-15.31
418.40,62.25,-14.43,51.63,-10.97,-10.61
420.40,62.25,-14.43,51.63,-10.97,-10.61
420.40,62.25,-14.43,51.63,-10.97,-10.61
422.41,76.10,-11.30,65.49,-10.97,-10.61
422.41,73.14,-11.30,65.49,-9.47,-7.65
424.41,73.14,-11.30,65.49,-9.47,-7.65
424.41,73.14,-11.30,65.49,-9.47,-7.65
426.41,82.68,-8.73,75.03,-9.47,-7.65
426.41,80.24,-8.73,75.03,-7.49,-5.21
426.41,79.36,-8.73,75.03,-6.73,-4.33
429.42,83.48,-7.40,79.15,-6.73,-4.33
429.42,83.48,-7.40,79.15,-6.73,-4.33
431.42,84.79,-6.75,80.46,-6.73,-4.33
431.42,84.48,-6.75,80.46,-6.22,-4.02
433.42,84.48,-6.75,80.46,-6.22,-4.02
434.43,85.69,-6.14,81.67,-6.22,-4.02
434.43,85.40,-6.14,81.67,-5.75,-3.73
436.43,85.40,-6.14,81.67,-5.75,-3.73
437.57,86.45,-5.52,82.72,-5.75,-3.73
437.57,86.23,-5.52,82.72,-5.28,-3.51
439.57,86.32,-5.45,82.81,-5.28,-3.51
439.57,86.30,-5.45,82.81,-5.22,-3.49
441.58,86.37,-5.39,82.88,-5.22,-3.49
441.58,86.37,-5.39,82.88,-5.17,-3.48
443.58,86.46,-5.30,82.98,-5.17,-3.48
443.58,86.46,-5.30,82.98,-5.10,-3.48
445.59,86.54,-5.23,83.05,-5.10,-3.48
445.59,86.53,-5.23,83.05,-5.04,-3.48
447.59,86.53,-5.23,83.05,-5.04,-3.48
448.59,86.58,-5.18,83.11,-5.04,-3.48
448.59,86.55,-5.18,83.11,-5.03,-3.45
450.59,86.59,-5.11,83.14,-5.03,-3.45
451.60,86.62,-5.07,83.17,-5.03,-3.45
451.60,86.62,-5.07,83.17,-4.92,-3.45
451.60,86.61,-5.07,83.17,-4.91,-3.44
454.60,86.64,-5.04,83.19,-4.91,-3.44
455.60,86.64,-5.03,83.19,-4.91,-3.44
455.60,86.64,-5.03,83.19,-4.89,-3.44
457.61,86.64,-4.98,83.19,-4.89,-3.44
457.61,86.64,-4.98,83.19,-4.84,-3.45
459.61,86.64,-4.98,83.19,-4.84,-3.45
460.61,86.65,-4.91,83.20,-4.84,-3.45
460.61,86.66,-4.91,83.20,-4.80,-3.46
462.62,86.68,-4.76,83.22,-4.80,-3.46
462.62,86.68,-4.76,83.22,-4.74,-3.46
464.62,86.68,-4.76,83.22,-4.74,-3.46
465.62,86.74,-4.49,83.27,-4.74,-3.46
465.62,86.74,-4.49,83.27,-4.59,-3.47
467.62,86.81,-4.29,83.35,-4.59,-3.47
467.62,86.85,-4.29,83.35,-4.49,-3.50
467.62,86.82,-4.29,83.35,-4.39,-3.47
470.63,86.88,-4.18,83.40,-4.39,-3.47
471.63,86.86,-4.17,83.39,-4.39,-3.47
471.63,86.88,-4.17,83.39,-4.36,-3.48
473.63,86.87,-4.13,83.39,-4.36,-3.48
473.63,86.87,-4.13,83.39,-4.27,-3.48
475.64,86.87,-4.13,83.39,-4.27,-3.48
475.64,86.87,-4.13,83.39,-4.27,-3.48
477.64,86.89,-4.05,83.42,-4.27,-3.48
477.64,86.85,-4.05,83.42,-4.14,-3.43
479.64,86.85,-4.05,83.42,-4.14,-3.43
480.65,86.86,-4.02,83.43,-4.14,-3.43
480.65,86.84,-4.02,83.43,-4.07,-3.41
482.65,86.84,-4.02,83.43,-4.07,-3.41
483.65,86.84,-4.02,83.43,-4.07,-3.41
484.65,86.83,-4.00,83.42,-4.07,-3.41
484.65,86.83,-4.00,83.42,-4.04,-3.42
