=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.21 13:23:33 =~=~=~=~=~=~=~=~=~=~=~=
7230.75,58.39,-8.24,3.63,4.62,-0.05,-0.02,0.02,-0.43,1.27,10.00,0.02,-0.01,0.02
7230.76,58.39,-8.22,3.64,4.62,-0.05,-0.02,0.02,-0.41,1.28,9.99,0.02,-0.01,0.02
7230.78,58.40,-8.20,3.65,4.64,-0.05,-0.02,0.02,-0.38,1.31,9.96,0.01,-0.01,0.02
7230.80,58.40,-8.17,3.63,4.68,-0.05,-0.02,0.01,-0.33,1.33,9.94,0.01,-0.01,0.02
7230.81,58.40,-8.17,3.63,4.69,-0.05,-0.02,0.00,-0.32,1.33,9.95,0.01,-0.01,0.02
7230.82,58.41,-8.18,3.63,4.68,-0.05,-0.02,0.00,-0.32,1.33,9.97,0.01,-0.00,0.02
7230.83,58.41,-8.18,3.64,4.70,-0.05,-0.01,-0.00,-0.31,1.32,9.98,0.01,-0.00,0.02
7230.85,58.42,-8.19,3.66,4.69,-0.05,-0.00,-0.02,-0.34,1.31,10.02,0.01,-0.00,0.01
7230.88,58.44,-8.21,3.65,4.68,-0.05,0.01,-0.03,-0.36,1.31,10.02,0.01,-0.00,0.00
7230.89,58.45,-8.23,3.64,4.66,-0.06,0.01,-0.03,-0.37,1.30,10.01,0.00,-0.00,-0.00
7230.90,58.48,-8.23,3.63,4.62,-0.06,0.01,-0.04,-0.39,1.31,9.97,0.00,-0.01,-0.01
7230.92,58.53,-8.24,3.64,4.55,-0.06,0.00,-0.04,-0.43,1.30,9.92,0.00,-0.01,-0.00
7230.94,58.54,-8.23,3.63,4.53,-0.06,0.00,-0.05,-0.47,1.28,9.91,0.00,-0.01,0.00
7230.95,58.57,-8.25,3.62,4.51,-0.07,-0.00,-0.05,-0.49,1.27,9.89,0.00,-0.01,0.01
7230.96,58.59,-8.27,3.60,4.50,-0.07,-0.01,-0.05,-0.49,1.27,9.89,0.00,-0.02,0.01
