=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.21 12:17:24 =~=~=~=~=~=~=~=~=~=~=~=
0.00,0.00
3261.72,80.62,-9.98,0.84,1.25,-0.04,-0.02,-0.00,-0.41,0.19,10.09,0.01,0.00,0.00
3261.73,80.62,-9.98,0.85,1.25,-0.04,-0.02,-0.00,-0.41,0.19,10.09,0.01,0.00,0.00
3261.75,80.62,-9.98,0.85,1.25,-0.04,-0.02,-0.00,-0.40,0.19,10.09,0.01,0.00,0.00
3261.76,80.62,-9.98,0.85,1.25,-0.04,-0.02,-0.00,-0.41,0.20,10.09,0.01,0.00,0.00
3261.77,80.61,-9.98,0.84,1.25,-0.04,-0.02,-0.00,-0.42,0.20,10.08,0.01,0.00,0.00
3261.78,80.61,-9.98,0.85,1.24,-0.04,-0.02,-0.00,-0.41,0.20,10.08,0.01,0.00,0.00
3261.79,80.61,-9.98,0.85,1.24,-0.04,-0.02,-0.00,-0.41,0.20,10.08,0.01,0.00,0.00
3261.81,80.61,-9.98,0.85,1.24,-0.04,-0.02,-0.00,-0.42,0.20,10.08,0.01,0.00,0.00
3261.82,80.61,-9.97,0.85,1.24,-0.04,-0.02,-0.00,-0.42,0.20,10.09,0.01,0.00,0.00
3261.83,80.61,-9.97,0.86,1.23,-0.04,-0.02,-0.00,-0.41,0.20,10.10,0.01,0.00,0.00
3261.85,80.62,-9.98,0.85,1.23,-0.04,-0.02,-0.00,-0.41,0.20,10.08,0.01,0.00,0.00
3261.86,80.62,-9.98,0.85,1.23,-0.04,-0.02,-0.00,-0.40,0.20,10.08,0.01,0.00,0.00
3261.88,80.62,-9.98,0.86,1.24,-0.04,-0.02,-0.00,-0.41,0.20,10.09,0.01,0.00,0.00
3261.89,80.62,-9.98,0.85,1.24,-0.04,-0.02,-0.00,-0.42,0.20,10.10,0.01,0.00,0.00
3261.90,80.62,-9.98,0.85,1.24,-0.04,-0.02,-0.00,-0.41,0.20,10.11,0.01,0.00,0.00
3261.92,80.62,-9.97,0.84,1.24,-0.04,-0.02,-0.00,-0.41,0.20,10.11,0.01,0.00,0.00
3261.93,80.62,-9.97,0.85,1.24,-0.04,-0.02,-0.00,-0.42,0.21,10.10,0.01,0.00,0.00
3261.94,80.62,-9.98,0.85,1.24,-0.04,-0.02,-0.00,-0.41,0.20,10.10,0.01,0.00,0.00
3261.96,80.62,-9.98,0.85,1.24,-0.04,-0.02,-0.00,-0.42,0.20,10.09,0.01,0.00,0.00
3261.97,80.62,-9.98,0.84,1.25,-0.04,-0.02,-0.00,-0.42,0.20,10.10,0.01,0.00,0.00
3261.98,80.61,-9.97,0.84,1.25,-0.04,-0.02,0.00,-0.41,0.20,10.11,0.01,0.00,0.00
3261.99,80.61,-9.98,0.84,1.25,-0.04,-0.02,-0.00,-0.41,0.20,10.10,0.01,0.00,0.00
3262.01,80.61,-9.98,0.85,1.23,-0.04,-0.02,-0.00,-0.41,0.20,10.09,0.01,0.00,0.00
3262.03,80.61,-9.99,0.85,1.25,-0.04,-0.02,-0.00,-0.40,0.20,10.10,0.01,0.00,0.00
3262.05,80.61,-9.99,0.84,1.25,-0.04,-0.02,-0.00,-0.40,0.21,10.10,0.00,0.00,0.00
3262.06,80.61,-9.98,0.84,1.24,-0.04,-0.02,-0.00,-0.42,0.21,10.11,0.00,0.00,0.00
3262.07,80.61,-9.99,0.84,1.24,-0.03,-0.02,0.00,-0.42,0.20,10.10,0.00,0.00,0.00
3262.10,80.61,-9.99,0.84,1.24,-0.03,-0.02,0.00,-0.43,0.20,10.10,0.01,0.00,0.00
3262.11,80.61,-9.98,0.85,1.24,-0.04,-0.02,0.00,-0.42,0.20,10.10,0.01,0.00,0.00
3262.12,80.61,-9.98,0.85,1.24,-0.04,-0.02,0.00,-0.41,0.20,10.11,0.01,0.00,0.00
3262.13,80.61,-9.99,0.84,1.25,-0.04,-0.02,0.00,-0.40,0.20,10.10,0.01,0.00,0.00
3262.15,80.61,-9.99,0.83,1.26,-0.04,-0.02,0.00,-0.40,0.19,10.10,0.01,0.00,0.00
3262.17,80.61,-9.98,0.83,1.26,-0.04,-0.02,0.00,-0.40,0.18,10.10,0.01,0.00,0.00
3262.18,80.61,-9.97,0.83,1.25,-0.04,-0.02,0.00,-0.40,0.19,10.11,0.01,0.00,0.00
3262.19,80.62,-9.98,0.83,1.25,-0.04,-0.02,0.00,-0.40,0.18,10.12,0.01,0.00,0.00
3262.20,80.62,-9.98,0.84,1.25,-0.04,-0.02,0.00,-0.39,0.19,10.11,0.01,0.00,0.00
3262.21,80.63,-9.97,0.85,1.25,-0.04,-0.02,-0.00,-0.40,0.19,10.11,0.01,0.00,0.00
3262.23,80.63,-9.97,0.85,1.25,-0.04,-0.02,-0.00,-0.40,0.20,10.10,0.01,0.00,0.00
3262.24,80.64,-9.98,0.85,1.23,-0.04,-0.02,-0.00,-0.40,0.21,10.10,0.01,0.00,0.00
3262.26,80.64,-9.97,0.85,1.23,-0.04,-0.02,-0.00,-0.41,0.21,10.09,0.01,0.00,0.00
3262.27,80.64,-9.98,0.84,1.23,-0.03,-0.02,0.00,-0.41,0.20,10.10,0.01,0.00,0.00
3262.28,80.64,-9.98,0.85,1.23,-0.03,-0.02,0.00,-0.41,0.20,10.09,0.01,0.00,0.00
3262.29,80.64,-9.98,0.84,1.23,-0.03,-0.02,0.00,-0.42,0.20,10.09,0.01,0.00,0.00
3262.30,80.64,-9.98,0.84,1.24,-0.03,-0.02,0.00,-0.43,0.20,10.09,0.01,0.00,0.00
3262.32,80.63,-9.98,0.85,1.23,-0.04,-0.02,-0.00,-0.42,0.20,10.11,0.01,0.00,0.00
3262.33,80.63,-9.98,0.84,1.23,-0.04,-0.02,-0.00,-0.42,0.20,10.11,0.01,0.00,0.00
3262.34,80.63,-9.98,0.85,1.22,-0.04,-0.02,0.00,-0.43,0.20,10.11,0.01,0.00,0.00
3262.36,80.63,-9.98,0.85,1.23,-0.04,-0.02,0.00,-0.42,0.20,10.11,0.01,0.00,0.00
3262.38,80.63,-9.98,0.84,1.23,-0.04,-0.02,0.00,-0.41,0.20,10.11,0.01,0.00,0.00
3262.39,80.63,-9.97,0.85,1.24,-0.04,-0.02,0.00,-0.42,0.20,10.10,0.01,0.00,0.00
3262.41,80.63,-9.97,0.86,1.24,-0.04,-0.02,-0.00,-0.41,0.19,10.10,0.01,0.00,0.00
3262.42,80.63,-9.97,0.86,1.24,-0.04,-0.02,-0.00,-0.41,0.19,10.10,0.01,0.00,0.00
3262.43,80.63,-9.97,0.86,1.25,-0.04,-0.02,-0.00,-0.41,0.20,10.11,0.01,0.00,0.00
3262.44,80.63,-9.98,0.85,1.25,-0.04,-0.02,-0.00,-0.40,0.21,10.10,0.00,0.00,0.00
3262.45,80.63,-9.97,0.85,1.25,-0.04,-0.02,-0.00,-0.41,0.21,10.10,0.00,0.00,0.00
3262.47,80.63,-9.97,0.84,1.24,-0.03,-0.02,-0.00,-0.41,0.21,10.10,0.01,0.00,0.00
3262.48,80.63,-9.97,0.84,1.24,-0.03,-0.02,-0.00,-0.42,0.21,10.11,0.00,0.00,0.00
3262.50,80.63,-9.97,0.85,1.24,-0.03,-0.02,-0.00,-0.41,0.20,10.10,0.00,0.00,0.00
3262.52,80.63,-9.97,0.84,1.24,-0.03,-0.02,-0.00,-0.40,0.20,10.10,0.00,0.00,0.00
3262.53,80.63,-9.97,0.84,1.25,-0.03,-0.02,-0.00,-0.40,0.20,10.09,0.00,0.00,0.00
3262.54,80.62,-9.97,0.84,1.26,-0.03,-0.02,-0.00,-0.41,0.20,10.09,0.00,0.00,0.00
3262.55,80.61,-9.98,0.84,1.26,-0.04,-0.02,-0.00,-0.41,0.20,10.09,0.01,0.00,0.00
